,Terminations of pregnancy
1996-01-01,33505.0
1996-04-01,32378.0
1996-07-01,33405.0
1996-10-01,31611.0
1997-01-01,34083.0
1997-04-01,34087.0
1997-07-01,32235.0
1997-10-01,30485.0
1998-01-01,35479.0
1998-04-01,32527.0
1998-07-01,32356.0
1998-10-01,31433.0
1999-01-01,34458.0
1999-04-01,32310.0
1999-07-01,32420.0
1999-10-01,31283.0
2000-01-01,35339.0
2000-04-01,33564.0
2000-07-01,33442.0
2000-10-01,32264.0
2001-01-01,36147.0
2001-04-01,33571.0
2001-07-01,33240.0
2001-10-01,32006.0
2002-01-01,35676.0
2002-04-01,33367.0
2002-07-01,31227.0
2002-10-01,30117.0
2003-01-01,34215.0
2003-04-01,32202.0
2003-07-01,31370.0
2003-10-01,30243.0
2004-01-01,33786.0
2004-04-01,32616.0
2004-07-01,31661.0
2004-10-01,31587.0
2005-01-01,32559.0
2005-04-01,31989.0
2005-07-01,30339.0
2005-10-01,29136.0
2006-01-01,32776.0
2006-04-01,30184.0
2006-07-01,28770.0
2006-10-01,27980.0
2007-01-01,31350.0
2007-04-01,28963.0
2007-07-01,28107.0
2007-10-01,28451.0
2008-01-01,30580.0
2008-04-01,29350.0
2008-07-01,27874.0
2008-10-01,26680.0
2009-01-01,29418.0
2009-04-01,27782.0
2009-07-01,26679.0
2009-10-01,26815.0
2010-01-01,29795.0
2010-04-01,27437.0
2010-07-01,26535.0
2010-10-01,26664.0
2011-01-01,28947.0
2011-04-01,26591.0
2011-07-01,27021.0
2011-10-01,26308.0
2012-01-01,29055.0
2012-04-01,26909.0
2012-07-01,25545.0
2012-10-01,25306.0
2013-01-01,28061.0
2013-04-01,25782.0
2013-07-01,24504.0
2013-10-01,24455.0
2014-01-01,27889.0
2014-04-01,24524.0
2014-07-01,23910.0
2014-10-01,23392.0
2015-01-01,26361.0
2015-04-01,24493.0
2015-07-01,24122.0
2015-10-01,24261.0
2016-01-01,26282.0
2016-04-01,24961.0
2016-07-01,24161.0
2016-10-01,23317.0
2017-01-01,26611.0
2017-04-01,25635.0
2017-07-01,24653.0
2017-10-01,24310.0
2018-01-01,27192.0
2018-04-01,24953.0
2018-07-01,24220.0
2018-10-01,24621.0
2019-01-01,27025.0
2019-04-01,24405.0
2019-07-01,25154.0
2019-10-01,24309.0
2020-01-01,26497.0
2020-04-01,25083.0
2020-07-01,24215.0
2020-10-01,24153.0
2021-01-01,24641.0
2021-04-01,22948.0
2021-07-01,22667.0
2021-10-01,24340.0
2022-01-01,25817.0
2022-04-01,25580.0
2022-07-01,26452.0
2022-10-01,26078.0
2023-01-01,27576.0
2023-04-01,26731.0
2023-07-01,26643.0
2023-10-01,25268.0
2024-01-01,28210.0
